id,title,category,location,description,slug,image,timeOfDay,mood,priceLevel,tips,longDescription,trending
1,Acupuncture Session,Relaxation,"{""type"":""indoor"",""setting"":""clinic""}",Try acupuncture for relaxation and stress relief.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/acupuncture_session_relaxation_diverse_couple_400x300_17605137834.jpg",/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Moderate,Wear comfortable clothes and arrive early.,Try acupuncture for relaxation and stress relief in a calming setting.,
2,Amusement Park,Entertainment,"{""type"":""outdoor"",""setting"":""amusement park""}",Enjoy thrilling rides and carnival games together.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/amusement_park_entertainment_diverse_couple_400x300_1760513796.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable shoes and secure loose belongings.,"Experience thrilling rides, games, and sweet treats at a fun-filled amusement park.",
3,Aquarium Date,Entertainment,"{""type"":""indoor"",""setting"":""aquarium""}",Explore underwater worlds and marine life together.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/aquarium_date_entertainment_general_interracial_couple_400x300_17.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""peaceful""}",Moderate,Check feeding times for special demonstrations.,Walk hand-in-hand through colorful underwater exhibits featuring fascinating marine life.,true
4,Arcade Night,Entertainment,"{""type"":""indoor"",""setting"":""arcade""}",Play classic and modern arcade games together.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/arcade_night_entertainment_diverse_couple_400x300_1760513819587.jpg",/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""playful""}",Affordable,Bring quarters or purchase a game card.,Rediscover your playful sides as you compete in classic and modern arcade games.,
5,Archery Lessons,Outdoor,"{""type"":""outdoor"",""setting"":""range""}",Learn to shoot a bow and arrow with precision.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/archery_lessons_outdoor_white_couple_400x300_1760513832450.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""focused""}",Affordable,Wear comfortable clothes and bring water.,Learn to shoot a bow and arrow with precision in a fun and interactive setting.,
6,Aromatherapy Massage,Relaxation,"{""type"":""indoor"",""setting"":""spa""}",Enjoy a massage with essential oils.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/aromatherapy_massage_relaxation_diverse_couple_400x300_176051382.jpg",/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Moderate,Bring comfortable clothes and arrive early.,Enjoy a massage with essential oils in a relaxing and calming setting.,
7,Art Class,Cultural,"{""type"":""indoor"",""setting"":""art studio""}",Take an art class and create your own masterpieces.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/art_class_cultural_mixed_race_couple_400x300_1760513858570.jpg",/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""creative""}",Affordable,Wear comfortable clothes and bring an apron.,Create your own art together in a fun and interactive class.,
8,Art Exhibition,Cultural,"{""type"":""indoor"",""setting"":""gallery""}",Visit an art exhibition and appreciate beautiful artwork.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/art_exhibition_cultural_interracial_couple_400x300_1760513870274.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""cultural""}",Affordable,Dress comfortably and bring a light jacket.,Visit an art exhibition and appreciate beautiful artwork together.,
9,Art Gallery Tour,Entertainment,"{""type"":""indoor"",""setting"":""gallery""}",Explore local art galleries and discuss your favorite pieces.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/art_gallery_tour_entertainment_mixed_race_couple_400x300_176051375.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""fun""}",Affordable,Wear comfortable shoes and dress casually.,Explore local art galleries and appreciate beautiful artwork together.,true
10,Axe Throwing,Adventure,"{""type"":""indoor"",""setting"":""axe range""}",Learn to throw axes at targets in this unique sport.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/axe_throwing_adventure_asian_couple_400x300_1760513896032.jpg",/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear closed-toe shoes and listen carefully to safety instructions.,Bond over this unique activity as you learn to accurately throw axes at wooden targets.,
